Table: CONTENT, field: CONTENT_ID
Table: COURSE_GROUPS, field: GROUP_ID
Table: COURSES, field: COURSE_ID
Table: DEL_CONTENT, field: CONTENT_ID
Table: DEL_COURSES, field: COURSE_ID
Table: DEL_MEMBERS, field: MEMBER_ID
Table: DEL_NEWS, field: NEWS_ID
Table: DYN_COLUMNS, field: ID
Table: DYN_DEFINITIONS, field: ID
Table: DYN_GROUPS, field: ID
Table: DYN_LINKS, field: ID
Table: DYN_OPERATORS, field: ID
Table: DYN_QUERY, field: ID
Table: FORUMS, field: FORUM_ID
Table: FORUMS_THREADS, field: POST_ID
Table: GLOSSARY, field: WORD_ID
Table: LEARNING_CONCEPTS, field: CONCEPT_ID
Table: MEMBER_GROUPS, field: GROUP_ID
Table: MEMBERS, field: MEMBER_ID
Table: MESSAGES, field: MESSAGE_ID
Table: NEWS, field: NEWS_ID
Table: POLICY, field: ID
Table: REPORT_COLUMNS, field: ID
Table: REPORT_DEFINITIONS, field: ID
Table: REPORT_LINKS, field: ID
Table: REPORT_OPERATORS, field: ID
Table: REPORT_QUERY, field: ID
Table: REPORT_REPORTS, field: ID
Table: RESOURCE_CATEGORIES, field: CATID
Table: RESOURCE_LINKS, field: LINKID
Table: ROOM, field: RID
Table: SKILLS, field: SKILL_ID
Table: TESTS, field: TEST_ID
Table: TESTS_QUESTIONS, field: QUESTION_ID
Table: TESTS_RESULTS, field: RESULT_ID
Table: THEME_SETTINGS, field: THEME_ID
Table: TMP_DATE, field: TMP
Table: TMP_DYNGROUP, field: ID
Table: USER, field: UID
Table: USER_CATEG, field: CATEG_ID
